ID_CLIENTE,FECHA_ALTA,EDAD,GENERO,ESTADO_CIVIL,NIVEL_EDUCATIVO,NUM_DEPENDIENTES,TIPO_EMPLEO,INGRESO_MENSUAL,ANTIGUEDAD_LABORAL,TIPO_CREDITO,MONTO_CREDITO,PLAZO_MESES,TASA_INTERES,NUM_CREDITOS_PREVIOS,DIAS_MORA_MAX,RATIO_UTILIZACION,TIPO_VIVIENDA,RATIO_LTV,DEFAULT
CLI000047,2026-03-04,36,F,Casado,Secundaria,1,Sin empleo,1444.0,1.5,Hipotecario,12762.0,36,17.1,2,0.0,0.1577,Propia,0.943,1
CLI000048,2025-05-10,53,M,Soltero,Universitario,2,Dependiente,1275.0,5.2,Consumo,12954.0,24,26.62,5,90.0,0.5612,Arrendada,,0
CLI000049,2025-12-06,45,M,Casado,Técnico,2,Independiente,4940.0,1.8,Vehicular,33676.0,36,21.56,3,0.0,0.1119,Familiar,,0
CLI000050,2025-08-08,22,M,Casado,Técnico,0,Empresario,1799.0,4.0,Vehicular,40808.0,24,21.5,2,0.0,0.5573,Hipotecada,,0
CLI000051,2025-06-15,45,F,Casado,Universitario,2,Jubilado,4573.0,,Consumo,1261.0,36,15.28,4,0.0,0.2822,Hipotecada,,0
CLI000052,2026-01-23,37,M,Casado,Secundaria,2,Dependiente,1231.0,10.9,Vehicular,9306.0,24,17.82,7,0.0,0.3794,Arrendada,,1
CLI000053,2025-11-23,34,M,Soltero,Secundaria,1,Empresario,943.0,13.1,Vehicular,9494.0,48,16.58,6,90.0,0.1877,Propia,,1
CLI000054,2025-10-03,48,F,Soltero,Técnico,1,Dependiente,1235.0,1.4,Consumo,52351.0,12,30.4,7,90.0,0.2387,Propia,,0
CLI000055,2025-06-09,53,M,Soltero,Secundaria,1,Dependiente,1497.0,9.1,Consumo,31695.0,60,18.46,5,90.0,0.4917,Propia,,1
CLI000056,2025-01-01,52,M,Soltero,Postgrado,2,Independiente,,10.0,Consumo,6503.0,84,17.93,3,30.0,0.1972,Arrendada,,0
CLI000057,2026-03-09,32,F,Casado,Universitario,4,Dependiente,2679.0,7.5,Vehicular,28132.0,120,21.0,4,0.0,0.4034,Hipotecada,,1
CLI000058,2025-12-07,38,M,Casado,Universitario,3,Dependiente,1999.0,1.9,Consumo,5486.0,48,18.79,4,0.0,0.3551,Propia,,0
CLI000059,2025-05-25,45,M,Soltero,Universitario,1,Sin empleo,3103.0,0.8,Consumo,66911.0,60,23.82,3,30.0,0.0949,Propia,,0
CLI000060,2025-05-07,52,F,Divorciado,Técnico,1,Dependiente,4050.0,0.5,Consumo,45241.0,36,18.37,4,30.0,0.2633,Familiar,,0
CLI000061,2025-07-03,36,M,Casado,Técnico,0,Dependiente,2777.0,6.0,Consumo,10346.0,120,17.5,1,0.0,0.1525,Arrendada,,0
CLI000062,2025-01-03,39,F,Soltero,Secundaria,2,Dependiente,1138.0,1.2,Hipotecario,10563.0,12,8.15,2,,0.0981,Arrendada,0.862,0
CLI000063,2025-03-11,29,M,Casado,Secundaria,1,Independiente,759.0,4.8,Vehicular,43348.0,24,11.59,1,0.0,0.2046,Arrendada,,1
CLI000064,2025-06-04,28,M,Viudo,Técnico,0,Dependiente,2260.0,11.3,Hipotecario,6042.0,60,25.15,3,0.0,0.4088,Propia,0.768,0
CLI000065,2025-10-11,50,M,Soltero,Postgrado,0,Dependiente,10156.0,13.6,Hipotecario,13325.0,48,26.41,4,180.0,0.4317,Familiar,0.928,0
CLI000066,2026-03-15,56,M,Casado,Técnico,1,Dependiente,2146.0,10.3,Consumo,10184.0,60,17.21,4,,0.2245,Familiar,,0
CLI000067,2025-02-28,41,M,Viudo,Técnico,3,Dependiente,2206.0,3.8,Vehicular,8634.0,24,9.27,2,0.0,0.1643,Familiar,,0
CLI000068,2025-05-26,53,F,Soltero,Universitario,1,Empresario,4765.0,16.3,Vehicular,5622.0,36,18.02,4,60.0,0.2867,Arrendada,,0
CLI000069,2025-12-20,45,M,Soltero,Técnico,0,Dependiente,2010.0,13.6,Vehicular,22452.0,48,12.38,4,0.0,0.3063,Familiar,,0
CLI000070,2025-05-02,34,F,Casado,Técnico,1,Empresario,1643.0,5.1,Hipotecario,37066.0,24,24.7,5,30.0,0.042,Propia,0.795,0
CLI000071,2026-01-20,45,M,Casado,Secundaria,2,Empresario,1410.0,5.3,Consumo,6591.0,60,27.09,4,0.0,0.2952,Familiar,,0
CLI000072,2026-03-17,58,M,Soltero,Universitario,0,Dependiente,,16.3,Empresarial,12404.0,24,15.06,4,90.0,0.5651,Familiar,,0
CLI000073,2026-03-19,41,F,Soltero,Secundaria,3,Dependiente,1481.0,,Consumo,4439.0,24,16.83,2,120.0,0.1221,Arrendada,,1
CLI000074,2026-01-29,59,M,Casado,Técnico,4,Dependiente,1298.0,11.3,Vehicular,24186.0,24,15.59,0,30.0,0.3887,Arrendada,,1
CLI000075,2026-03-19,18,F,Divorciado,Técnico,1,Empresario,2132.0,8.4,Vehicular,61207.0,48,19.88,2,0.0,0.0796,Propia,,0
CLI000076,2026-03-04,51,F,Casado,Técnico,2,Empresario,,1.9,Consumo,14997.0,36,18.35,3,0.0,0.293,Familiar,,0
CLI000077,2025-06-15,42,F,Divorciado,Secundaria,1,Dependiente,1272.0,7.9,Empresarial,30835.0,12,16.12,3,0.0,0.1794,Arrendada,,0
CLI000078,2026-02-10,38,M,Soltero,Técnico,0,Dependiente,1985.0,1.6,Consumo,115939.0,48,22.51,2,0.0,0.1306,Propia,,0
CLI000079,2025-07-05,43,F,Soltero,Postgrado,1,Independiente,7037.0,13.8,Hipotecario,17492.0,12,20.87,2,0.0,0.4772,Propia,0.57,0
CLI000080,2025-12-24,20,F,Casado,Universitario,0,Dependiente,,0.4,Consumo,9699.0,36,11.97,5,60.0,0.2225,Propia,,0
CLI000081,2025-07-07,39,F,Soltero,Universitario,0,Independiente,4342.0,6.9,Consumo,13197.0,84,14.72,5,0.0,0.2037,Propia,,0
CLI000082,2025-07-05,45,F,Soltero,Secundaria,2,Dependiente,1754.0,11.3,Vehicular,2345.0,84,23.29,1,0.0,0.2346,Familiar,,0
CLI000083,2025-06-15,58,F,Soltero,Universitario,0,Dependiente,3234.0,0.2,Hipotecario,27050.0,36,15.76,1,0.0,0.3616,Propia,0.518,0
CLI000084,2025-02-02,36,F,Soltero,Técnico,0,Dependiente,1099.0,6.6,Consumo,4292.0,48,12.27,2,0.0,0.1053,Propia,,0
CLI000085,2025-07-26,33,F,Casado,Postgrado,1,Dependiente,7188.0,7.7,Consumo,10130.0,12,20.88,2,0.0,0.1983,Propia,,0
CLI000086,2025-03-22,36,F,Divorciado,Universitario,3,Empresario,2902.0,,Consumo,33237.0,36,21.75,1,0.0,0.327,Familiar,,0
CLI000087,2025-07-08,52,M,Soltero,Técnico,2,Dependiente,2264.0,4.8,Hipotecario,60012.0,36,20.48,2,0.0,0.1,Propia,0.867,0
CLI000088,2025-10-06,45,M,Casado,Postgrado,0,Dependiente,6069.0,5.9,Vehicular,18344.0,48,14.29,5,90.0,0.2792,Propia,,0
CLI000089,2026-02-25,36,F,Divorciado,Técnico,0,Independiente,,1.0,Consumo,7714.0,36,22.28,7,0.0,0.1431,Propia,,0
CLI000090,2025-11-25,47,F,Soltero,Universitario,0,Empresario,3858.0,,Consumo,4469.0,36,14.82,2,120.0,0.5938,Arrendada,,1
CLI000091,2025-08-08,43,F,Divorciado,Técnico,2,Empresario,2855.0,16.7,Hipotecario,15377.0,120,20.61,1,0.0,0.2388,Propia,0.722,1
CLI000092,2025-07-09,52,F,Divorciado,Universitario,0,Dependiente,2824.0,5.7,Empresarial,83043.0,12,10.03,6,0.0,0.267,Familiar,,0
CLI000093,2025-04-27,34,F,Soltero,Técnico,0,Dependiente,869.0,2.6,Hipotecario,25733.0,60,15.26,3,30.0,,Propia,0.848,0
CLI000094,2025-10-11,38,M,Divorciado,Técnico,0,Jubilado,2355.0,4.2,Hipotecario,15768.0,48,13.97,1,30.0,0.1049,Arrendada,0.542,0
CLI000095,2025-11-02,37,M,Divorciado,Técnico,2,Dependiente,1809.0,0.5,Consumo,1921.0,84,25.12,6,0.0,0.1499,Arrendada,,1
CLI000096,2025-01-22,25,M,Soltero,Universitario,1,Dependiente,7249.0,0.5,Consumo,1000.0,36,13.25,1,30.0,0.4395,Arrendada,,0
CLI000097,2025-08-01,45,M,Divorciado,Postgrado,0,Dependiente,3711.0,3.1,Vehicular,3792.0,60,15.6,2,0.0,0.3449,Propia,,0
CLI000098,2025-04-07,44,F,Casado,Universitario,2,Dependiente,7918.0,,Consumo,55551.0,24,24.61,5,0.0,0.0497,Propia,,0
CLI000099,2025-12-11,42,F,Divorciado,Universitario,1,Dependiente,5015.0,5.4,Vehicular,12990.0,24,15.09,6,0.0,0.4347,Familiar,,0
CLI000100,2026-02-01,39,M,Casado,Técnico,0,Dependiente,1999.0,,Vehicular,12160.0,60,15.71,3,0.0,0.464,Arrendada,,0
CLI000101,2025-12-07,26,M,Casado,Secundaria,0,Independiente,894.0,2.2,Hipotecario,40872.0,84,21.59,2,0.0,0.2682,Familiar,0.726,0
CLI000102,2025-12-11,37,M,Casado,Universitario,0,Dependiente,2575.0,2.0,Hipotecario,29813.0,36,18.85,0,30.0,0.2551,Arrendada,0.932,0
CLI000103,2025-11-15,38,M,Casado,Universitario,1,Independiente,3375.0,19.1,Hipotecario,4469.0,48,22.62,4,120.0,0.3354,Propia,0.539,0
CLI000104,2025-06-04,33,M,Casado,Técnico,0,Empresario,3216.0,,Empresarial,9608.0,48,14.03,3,60.0,0.5354,Hipotecada,,0
CLI000105,2025-11-29,40,M,Divorciado,Postgrado,0,Empresario,3702.0,2.7,Hipotecario,9320.0,60,15.98,3,0.0,0.0478,Arrendada,0.695,0
CLI000106,2025-01-26,46,M,Casado,Técnico,0,Independiente,1884.0,1.1,Hipotecario,2755.0,48,17.03,5,0.0,0.4369,Propia,0.691,0
CLI000107,2025-06-06,62,F,Viudo,Universitario,0,Dependiente,2541.0,0.5,Consumo,4423.0,48,18.29,1,60.0,0.2238,Arrendada,,1
CLI000108,2025-10-08,43,M,Casado,Secundaria,1,Dependiente,1031.0,0.7,Consumo,5348.0,24,19.45,1,60.0,0.3997,Arrendada,,0
CLI000109,2025-06-26,44,F,Divorciado,Técnico,1,Dependiente,2709.0,15.3,Consumo,8618.0,24,18.6,5,30.0,0.1316,Arrendada,,0
CLI000110,2025-03-29,41,F,Soltero,Universitario,1,Independiente,3402.0,13.6,Consumo,28617.0,36,21.93,8,0.0,0.2732,Hipotecada,,0
CLI000111,2025-11-30,20,M,Soltero,Secundaria,0,Dependiente,1447.0,5.5,Empresarial,7402.0,84,13.37,7,180.0,0.1601,Familiar,,1
CLI000112,2025-04-08,41,F,Casado,Postgrado,0,Dependiente,5903.0,0.9,Vehicular,6922.0,12,19.31,5,30.0,0.4003,Arrendada,,0
CLI000113,2025-04-29,42,F,Casado,Universitario,0,Independiente,1855.0,6.4,Hipotecario,57037.0,48,28.08,1,,0.0517,Familiar,0.528,0
CLI000114,2025-10-13,69,M,Viudo,Universitario,2,Empresario,1303.0,4.0,Hipotecario,24717.0,120,15.28,6,0.0,0.5019,Familiar,0.89,0
CLI000115,2025-11-18,39,M,Soltero,Universitario,2,Independiente,,3.8,Vehicular,25964.0,48,17.11,4,0.0,,Arrendada,,0
CLI000116,2025-12-27,45,F,Casado,Técnico,3,Dependiente,3423.0,1.2,Consumo,14896.0,48,10.16,2,0.0,0.4681,Arrendada,,0
CLI000117,2025-07-24,41,M,Soltero,Universitario,3,Independiente,5734.0,5.7,Consumo,5870.0,24,13.05,4,120.0,0.5293,Propia,,0
CLI000118,2025-07-24,29,M,Divorciado,Secundaria,2,Independiente,981.0,5.6,Hipotecario,5401.0,36,18.35,3,0.0,0.6473,Familiar,0.561,0
CLI000119,2026-02-18,54,M,Soltero,Técnico,0,Dependiente,2628.0,4.3,Consumo,24595.0,24,6.14,2,0.0,0.2126,Hipotecada,,0
CLI000120,2026-03-10,50,M,Casado,Universitario,0,Empresario,4837.0,7.6,Vehicular,17425.0,48,8.93,1,30.0,0.158,Arrendada,,0
CLI000121,2025-07-01,50,F,Casado,Secundaria,2,Independiente,1866.0,2.2,Vehicular,18994.0,48,15.37,5,90.0,0.3071,Propia,,1
CLI000122,2026-03-01,31,F,Soltero,Secundaria,2,Dependiente,1307.0,0.0,Empresarial,32867.0,24,15.88,6,60.0,0.1853,Arrendada,,1
CLI000123,2026-03-21,57,F,Casado,Postgrado,2,Dependiente,4312.0,3.6,Vehicular,32817.0,120,14.85,2,90.0,0.172,Propia,,0
CLI000124,2025-08-22,26,M,Divorciado,Postgrado,1,Empresario,14488.0,,Consumo,48319.0,24,24.97,3,0.0,0.2412,Propia,,0
CLI000125,2025-03-23,48,F,Soltero,Técnico,0,Dependiente,2505.0,4.5,Empresarial,12076.0,84,24.12,2,0.0,0.6888,Arrendada,,0
CLI000126,2025-11-29,66,F,Viudo,Universitario,2,Dependiente,3538.0,0.1,Hipotecario,1707.0,36,17.24,1,60.0,0.3078,Familiar,0.644,0
CLI000127,2025-12-02,31,F,Soltero,Universitario,1,Sin empleo,3559.0,3.7,Hipotecario,20141.0,60,23.18,3,30.0,0.5089,Arrendada,0.83,1
CLI000128,2025-11-16,35,M,Soltero,Técnico,1,Independiente,2042.0,8.5,Consumo,3283.0,48,15.85,2,0.0,0.2702,Arrendada,,0
CLI000129,2025-08-14,43,M,Casado,Universitario,1,Independiente,,3.2,Vehicular,21544.0,48,13.18,1,30.0,0.2293,Propia,,0
CLI000130,2026-01-28,36,F,Casado,Universitario,2,Dependiente,2632.0,1.4,Consumo,4941.0,36,16.37,2,0.0,0.0929,Arrendada,,0
CLI000131,2025-06-22,24,M,Casado,Secundaria,2,Independiente,1791.0,8.3,Consumo,23614.0,24,10.86,1,30.0,0.237,Propia,,0
CLI000132,2025-06-20,42,F,Soltero,Universitario,1,Independiente,3084.0,4.1,Hipotecario,46161.0,60,16.95,4,0.0,0.1999,Propia,0.681,0
CLI000133,2025-11-25,30,F,Casado,Técnico,1,Dependiente,1578.0,2.1,Consumo,35682.0,24,29.44,8,,0.3897,Arrendada,,0
CLI000134,2025-12-18,47,M,Soltero,Universitario,1,Dependiente,,14.6,Empresarial,24219.0,12,18.0,4,60.0,0.4967,Arrendada,,0
CLI000135,2025-11-10,31,F,Divorciado,Universitario,4,Independiente,7416.0,4.6,Hipotecario,9236.0,36,11.47,1,90.0,0.1684,Propia,0.518,0
CLI000136,2025-12-06,59,M,Casado,Universitario,1,Dependiente,5402.0,7.4,Consumo,20084.0,60,21.82,4,30.0,0.1903,Propia,,0
CLI000137,2026-02-02,33,F,Casado,Postgrado,0,Independiente,5280.0,5.3,Vehicular,3992.0,36,20.69,2,0.0,0.2279,Familiar,,0
CLI000138,2026-03-29,38,F,Divorciado,Postgrado,2,Independiente,16487.0,5.7,Empresarial,10103.0,48,13.02,7,30.0,0.2705,Arrendada,,0
CLI000139,2025-10-09,50,F,Casado,Universitario,2,Dependiente,4710.0,5.0,Vehicular,64347.0,48,12.5,4,0.0,0.6226,Hipotecada,,0
CLI000140,2025-12-08,28,F,Casado,Universitario,1,Dependiente,5016.0,,Hipotecario,23395.0,36,10.11,3,0.0,0.613,Familiar,0.565,0
CLI000141,2025-01-18,44,F,Divorciado,Secundaria,2,Independiente,1130.0,1.1,Consumo,31996.0,36,21.11,1,0.0,0.0797,Arrendada,,0
CLI000142,2026-03-06,56,F,Soltero,Secundaria,3,Dependiente,910.0,18.7,Vehicular,2622.0,12,19.23,4,30.0,0.1192,Familiar,,0
CLI000143,2026-01-25,24,F,Casado,Técnico,2,Dependiente,1668.0,2.2,Consumo,41341.0,60,21.06,5,0.0,0.6898,Propia,,0
CLI000144,2026-02-14,44,M,Soltero,Universitario,0,Dependiente,4405.0,9.0,Consumo,4070.0,36,23.73,2,0.0,0.4796,Familiar,,1
CLI000145,2025-08-17,44,M,Soltero,Universitario,2,Empresario,,2.4,Consumo,13489.0,60,15.61,3,0.0,0.2373,Propia,,0
CLI000146,2025-12-01,50,F,Soltero,Secundaria,1,Dependiente,1287.0,8.8,Consumo,3700.0,12,19.42,3,,0.1907,Arrendada,,0
CLI000147,2025-12-30,28,M,Divorciado,Secundaria,0,Dependiente,1354.0,3.2,Consumo,38744.0,36,17.44,2,60.0,0.3727,Familiar,,1
CLI000148,2026-01-24,27,F,Casado,Técnico,3,Dependiente,3017.0,3.6,Consumo,28006.0,48,18.64,6,180.0,0.2392,Arrendada,,1
CLI000149,2025-07-18,47,M,Soltero,Postgrado,1,Dependiente,2377.0,13.4,Consumo,3957.0,36,18.32,5,0.0,0.2792,Arrendada,,0
CLI000150,2025-04-16,45,M,Soltero,Secundaria,3,Dependiente,500.0,14.7,Hipotecario,9853.0,36,18.55,4,0.0,0.4084,Propia,0.889,0
CLI000151,2025-01-14,44,M,Casado,Técnico,1,Empresario,1823.0,0.3,Vehicular,12122.0,36,18.15,3,90.0,0.1649,Arrendada,,1
CLI000152,2025-01-06,45,F,Casado,Secundaria,1,Dependiente,567.0,7.4,Consumo,23466.0,12,20.36,2,30.0,0.2469,Arrendada,,0
CLI000153,2025-11-11,34,F,Casado,Técnico,1,Dependiente,1273.0,2.1,Empresarial,20674.0,60,22.13,5,0.0,0.2036,Familiar,,0
CLI000154,2025-10-25,44,M,Casado,Postgrado,4,Dependiente,6119.0,8.1,Hipotecario,20847.0,36,26.54,3,0.0,0.2089,Familiar,0.697,0
CLI000155,2026-03-18,45,F,Casado,Secundaria,2,Independiente,829.0,7.6,Consumo,3061.0,60,15.43,2,,0.1215,Propia,,0
CLI000156,2025-09-24,34,F,Divorciado,Secundaria,2,Dependiente,809.0,0.5,Empresarial,1984.0,48,25.86,4,0.0,0.2358,Propia,,0
CLI000157,2025-06-16,62,F,Casado,Secundaria,3,Dependiente,,2.0,Consumo,71566.0,48,17.81,3,0.0,0.1978,Hipotecada,,0
CLI000158,2025-08-19,47,F,Divorciado,Universitario,1,Empresario,3961.0,3.8,Hipotecario,6547.0,48,17.52,2,60.0,0.3586,Propia,0.517,0
CLI000159,2025-12-03,28,M,Soltero,Secundaria,0,Independiente,527.0,6.1,Vehicular,2705.0,12,32.89,5,60.0,0.1354,Familiar,,1
CLI000160,2025-05-22,49,F,Soltero,Técnico,4,Dependiente,3067.0,5.9,Hipotecario,110239.0,48,19.04,5,180.0,0.3289,Arrendada,0.524,1
CLI000161,2025-11-18,31,M,Soltero,Postgrado,3,Independiente,,3.7,Consumo,6947.0,60,21.89,4,180.0,0.2647,Arrendada,,1
CLI000162,2025-07-26,50,M,Soltero,Secundaria,1,Dependiente,1747.0,6.0,Consumo,13227.0,84,20.78,4,90.0,0.2634,Hipotecada,,1
CLI000163,2025-10-13,54,M,Viudo,Postgrado,3,Sin empleo,3501.0,6.4,Consumo,18379.0,84,22.73,3,180.0,0.4685,Propia,,1
CLI000164,2026-03-07,32,M,Casado,Secundaria,2,Dependiente,1305.0,0.1,Vehicular,6349.0,36,14.34,4,90.0,0.2189,Arrendada,,0
CLI000165,2025-06-25,52,F,Casado,Secundaria,2,Independiente,1150.0,0.5,Hipotecario,10362.0,36,14.27,1,0.0,0.3677,Hipotecada,0.613,0
CLI000166,2025-08-28,46,M,Casado,Universitario,2,Empresario,4347.0,6.2,Consumo,9910.0,48,18.51,3,0.0,0.2391,Arrendada,,0
CLI000167,2025-08-07,51,F,Casado,Secundaria,2,Sin empleo,,6.8,Consumo,9678.0,60,11.37,6,60.0,0.6491,Arrendada,,1
CLI000168,2026-01-03,62,F,Soltero,Secundaria,1,Independiente,721.0,15.8,Consumo,4193.0,24,19.12,1,60.0,0.331,Familiar,,1
CLI000169,2026-02-15,39,F,Casado,Universitario,1,Dependiente,,3.1,Consumo,1915.0,48,10.96,3,60.0,0.1848,Familiar,,0
CLI000170,2025-11-01,33,F,Casado,Técnico,0,Dependiente,2186.0,2.7,Consumo,29975.0,24,11.76,3,0.0,0.1703,Arrendada,,0
