id_credito,anio_originacion,plazo_meses,edad,ingreso_mensual,score_buro,deuda_ingreso,num_productos,pd_modelo,default_obs
44,2021,48,34,3218.0,614,0.3858,3,0.052058,0
45,2023,36,23,5415.0,551,0.1591,1,0.0135,0
46,2022,60,30,4899.0,628,0.2484,2,0.087812,0
47,2022,24,33,3825.0,699,0.2182,2,0.304196,0
48,2023,24,48,5437.0,526,0.127,1,0.004982,0
49,2021,60,41,8267.0,497,0.3409,1,0.004282,0
50,2022,60,22,5985.0,623,0.2168,3,0.041168,0
51,2022,36,41,4626.0,558,0.1339,4,0.008808,0
52,2022,24,34,7817.0,622,0.3602,2,0.039667,0
53,2021,24,31,3041.0,645,0.0893,1,0.06115,0
54,2021,24,44,4392.0,448,0.0525,2,0.001,0
55,2022,36,48,4445.0,675,0.479,4,0.155186,0
56,2021,36,47,2648.0,526,0.1586,3,0.006378,0
57,2022,12,29,3984.0,618,0.5391,2,0.065949,0
58,2022,36,34,1742.0,567,0.3478,4,0.025515,0
59,2023,24,41,12786.0,575,0.4287,4,0.006133,0
60,2023,36,47,3076.0,755,0.161,3,0.26733,1
61,2021,36,33,10862.0,645,0.3446,4,0.024198,0
62,2021,36,36,5009.0,692,0.1636,3,0.164772,0
63,2022,12,26,6519.0,632,0.4314,4,0.071409,0
64,2021,24,26,3849.0,669,0.1355,3,0.106276,0
65,2022,12,46,5453.0,653,0.264,1,0.124437,0
66,2023,48,51,6804.0,640,0.0884,1,0.050594,0
67,2023,24,37,6852.0,708,0.3098,1,0.285701,0
68,2022,36,48,7240.0,632,0.1256,1,0.059785,0
69,2022,24,41,4088.0,802,0.1702,2,0.84645,0
70,2022,36,31,3865.0,696,0.2074,2,0.214503,1
71,2023,60,41,2215.0,528,0.0852,1,0.006989,0
72,2021,24,53,6384.0,605,0.3078,1,0.056296,0
73,2021,12,37,8444.0,651,0.5749,2,0.077737,0
74,2022,36,53,11026.0,623,0.2115,1,0.043884,0
75,2022,24,22,5725.0,674,0.5121,3,0.30147,1
76,2023,36,46,3350.0,683,0.2918,1,0.194691,1
77,2023,36,38,2104.0,511,0.3164,4,0.004543,0
78,2021,12,35,8274.0,722,0.2034,1,0.32076,0
79,2021,36,38,2002.0,580,0.3047,1,0.042559,0
80,2022,60,22,4145.0,572,0.3841,2,0.035496,0
81,2023,36,35,4393.0,572,0.4976,3,0.028724,0
82,2023,24,41,4747.0,684,0.4954,4,0.147444,0
83,2021,60,52,5004.0,598,0.6633,3,0.062826,0
84,2023,36,32,5266.0,566,0.4901,1,0.054103,0
85,2023,24,29,1469.0,586,0.108,1,0.033873,0
86,2021,36,32,4951.0,476,0.5437,1,0.00633,0
87,2021,12,47,1612.0,552,0.3594,1,0.037328,0
88,2022,36,41,7088.0,520,0.3047,3,0.005166,0
89,2023,36,32,3724.0,598,0.137,2,0.018036,0
90,2021,24,43,1672.0,673,0.1198,2,0.15239,0
91,2022,60,38,3271.0,664,0.3566,1,0.168239,0
92,2022,36,47,3696.0,720,0.5847,4,0.288526,1
93,2021,24,30,8914.0,702,0.4583,1,0.283364,0
94,2022,36,34,5423.0,577,0.4187,3,0.0216,0
95,2022,24,34,5838.0,621,0.1597,3,0.039418,0
96,2021,12,23,8872.0,617,0.4402,1,0.126148,0
97,2023,36,40,4684.0,447,0.4424,1,0.004242,0
98,2021,48,40,7166.0,522,0.347,2,0.011359,0
99,2022,24,38,6918.0,606,0.1428,1,0.031434,0
100,2023,48,35,2583.0,606,0.0711,4,0.035028,0
101,2021,36,23,10265.0,660,0.1832,4,0.040071,0
102,2022,60,33,2416.0,657,0.1413,3,0.096863,0
103,2022,24,34,7775.0,478,0.3532,1,0.003897,0
104,2023,36,29,2302.0,661,0.1408,3,0.141464,1
105,2023,36,36,6638.0,634,0.0633,2,0.019694,0
106,2023,12,42,12468.0,669,0.1228,2,0.035327,0
107,2022,24,56,4418.0,705,0.4057,1,0.408206,0
108,2021,36,39,4324.0,608,0.236,2,0.024337,0
109,2021,36,40,6669.0,719,0.3815,1,0.314344,0
110,2023,36,37,4168.0,548,0.515,2,0.022706,0
111,2022,12,22,12199.0,544,0.3657,2,0.009025,0
112,2021,24,37,5410.0,654,0.2153,2,0.140158,0
113,2022,24,38,4188.0,590,0.3147,2,0.036177,0
114,2023,24,62,3751.0,640,0.0228,1,0.038441,0
115,2022,36,36,3083.0,779,0.3863,2,0.74094,0
116,2021,24,41,3591.0,651,0.2789,4,0.055019,0
117,2021,48,37,4124.0,636,0.2927,2,0.069941,0
118,2022,24,26,3851.0,550,0.1678,1,0.018925,0
119,2021,36,49,3537.0,484,0.2629,1,0.006124,0
120,2023,24,45,14037.0,614,0.3305,2,0.025916,0
121,2021,60,45,2936.0,705,0.2687,1,0.336903,1
122,2022,24,28,5289.0,594,0.3189,1,0.077278,0
123,2021,48,52,6609.0,652,0.2767,2,0.078624,0
124,2021,24,23,6735.0,734,0.6813,2,0.721182,1
125,2022,48,43,4773.0,732,0.1672,2,0.186254,0
126,2022,12,59,4357.0,654,0.3471,1,0.193245,0
127,2023,24,28,6160.0,633,0.4337,3,0.063238,0
128,2023,24,32,5615.0,498,0.1724,3,0.002601,0
129,2022,12,38,4318.0,569,0.2588,1,0.036441,0
130,2021,24,32,2251.0,597,0.3823,1,0.060982,0
131,2022,36,22,3890.0,551,0.1055,2,0.01017,0
132,2021,48,38,2770.0,639,0.3839,4,0.123976,0
133,2022,36,27,3521.0,772,0.0983,2,0.605193,1
134,2022,36,42,4997.0,741,0.6764,2,0.638886,1
135,2021,12,28,5880.0,639,0.1564,2,0.043341,0
136,2023,24,53,11971.0,682,0.1617,1,0.069662,0
137,2021,24,30,3757.0,561,0.2114,1,0.009404,0
138,2021,24,34,7240.0,737,0.5171,4,0.34605,1
139,2021,36,46,5727.0,495,0.4439,2,0.006106,0
140,2023,12,25,9396.0,693,0.2528,1,0.193042,1
141,2023,24,40,6556.0,659,0.1181,1,0.161497,0
142,2021,48,51,2968.0,559,0.235,1,0.01305,0
143,2022,24,22,2077.0,603,0.5401,2,0.163141,1
144,2022,48,39,5742.0,529,0.1667,1,0.005359,0
145,2022,24,40,3774.0,532,0.2392,3,0.01116,0
146,2022,36,45,3010.0,492,0.1646,1,0.007403,0
147,2022,60,25,2608.0,681,0.295,1,0.21386,0
148,2021,24,24,5327.0,716,0.0688,1,0.299882,0
149,2023,48,43,10445.0,447,0.6095,2,0.002776,0
150,2021,24,40,4006.0,767,0.5271,4,0.477038,0
151,2022,36,40,6602.0,619,0.235,3,0.042237,0
152,2021,36,41,4670.0,643,0.0496,1,0.073634,0
153,2022,36,31,2579.0,502,0.2225,3,0.004796,0
154,2022,24,40,7097.0,725,0.0856,2,0.170273,0
155,2022,48,40,2843.0,636,0.1733,3,0.07429,0
156,2021,36,30,4968.0,711,0.069,2,0.158916,0
157,2022,36,56,4143.0,717,0.1476,2,0.19107,0
158,2021,48,42,7681.0,726,0.1587,1,0.218214,0
159,2022,24,26,2896.0,568,0.0855,1,0.022448,0
160,2021,36,44,5976.0,603,0.1092,2,0.021969,0
161,2022,24,28,3230.0,571,0.2187,2,0.019414,0
162,2022,48,45,3806.0,691,0.3648,1,0.230535,0
163,2023,24,49,798.0,646,0.39,3,0.053359,0
164,2022,24,29,13989.0,705,0.4079,3,0.208395,0
165,2023,36,47,6472.0,709,0.5806,1,0.487307,1
166,2023,24,42,3349.0,481,0.2089,1,0.010078,0
167,2022,36,46,2801.0,728,0.5976,1,0.674828,0
168,2023,48,56,3836.0,696,0.4268,4,0.14003,0
169,2022,36,35,7034.0,590,0.1565,1,0.01803,0
170,2023,12,30,1908.0,647,0.2522,2,0.096753,0
171,2021,12,29,4579.0,610,0.0946,3,0.025462,0
172,2023,48,29,11912.0,669,0.1007,1,0.057679,0
173,2021,48,37,2788.0,590,0.252,2,0.040322,0
174,2022,48,41,5116.0,658,0.2446,1,0.138305,0
175,2022,60,40,14789.0,625,0.3331,1,0.034655,0
176,2023,36,46,6742.0,585,0.0205,1,0.009703,0
177,2021,12,38,5234.0,635,0.1259,1,0.089843,0
178,2023,48,52,6332.0,836,0.3551,1,0.785109,1
179,2021,24,35,4022.0,565,0.2165,2,0.014005,0
180,2021,24,65,9413.0,600,0.0358,2,0.008671,0
181,2022,48,44,4025.0,566,0.6036,4,0.016856,0
182,2023,24,29,1845.0,574,0.5108,3,0.046241,0
183,2021,36,27,4041.0,685,0.2201,2,0.192685,0
184,2023,60,42,3031.0,677,0.1717,2,0.130095,0
185,2022,24,35,4270.0,619,0.454,2,0.117165,0
186,2021,24,45,4318.0,702,0.4073,1,0.458986,1
187,2023,36,42,8944.0,683,0.3963,3,0.084611,0
188,2023,48,37,6958.0,607,0.4283,2,0.053552,0
189,2022,24,29,5606.0,497,0.3139,2,0.00557,0
190,2022,36,22,4908.0,686,0.2134,1,0.2684,0
191,2022,12,33,2895.0,633,0.2372,3,0.05236,0
192,2021,36,46,1651.0,621,0.164,1,0.068366,0
193,2021,12,40,5201.0,582,0.2654,1,0.017809,0
194,2021,24,25,7312.0,679,0.2373,1,0.273374,0
195,2023,36,39,4656.0,647,0.0441,4,0.024045,0
196,2022,12,41,3761.0,601,0.1417,1,0.03352,0
197,2022,36,29,6200.0,521,0.4056,3,0.004639,0
198,2023,48,39,4714.0,705,0.2974,1,0.453744,0
199,2021,60,38,11417.0,668,0.1179,3,0.085456,0
200,2023,60,26,9103.0,640,0.1966,1,0.065331,1
201,2021,24,41,7941.0,407,0.4695,2,0.001,0
202,2022,48,43,7179.0,616,0.0808,1,0.031365,0
203,2022,12,48,2578.0,600,0.4631,1,0.087786,0
204,2023,60,48,6847.0,570,0.2496,1,0.015314,0
205,2022,36,24,5932.0,680,0.1151,1,0.164888,0
206,2023,24,28,6656.0,677,0.1705,1,0.156012,1
207,2021,48,43,6287.0,654,0.438,2,0.137064,0
208,2022,36,43,6163.0,703,0.7264,3,0.265785,0
209,2023,36,43,18967.0,538,0.1761,2,0.00251,0
210,2021,48,70,4731.0,583,0.5107,2,0.031702,0
211,2021,12,43,7849.0,625,0.5386,2,0.072985,0
212,2023,24,49,3884.0,570,0.3112,2,0.036003,0
213,2023,24,47,7298.0,678,0.2469,1,0.14037,0
214,2021,24,44,7861.0,578,0.1369,4,0.007079,0
215,2021,24,34,5897.0,723,0.2268,2,0.412114,0
216,2021,36,45,11323.0,545,0.1633,3,0.004426,0
217,2022,36,30,3159.0,790,0.3288,2,0.655293,1
218,2021,36,35,3852.0,782,0.2355,3,0.522455,0
219,2021,60,33,5465.0,612,0.3713,2,0.108416,1
220,2022,36,38,7634.0,711,0.3891,3,0.374198,1
221,2021,36,61,5376.0,587,0.2865,1,0.027603,0
222,2023,24,22,9348.0,701,0.2099,1,0.266571,0
223,2021,48,44,3530.0,605,0.3966,2,0.077411,0
224,2022,24,22,2779.0,517,0.4512,1,0.0335,0
225,2022,24,33,5733.0,337,0.8258,3,0.001,0
226,2021,36,48,4729.0,598,0.6075,1,0.101928,0
227,2022,60,38,6447.0,642,0.422,1,0.20194,0
228,2022,36,27,4848.0,726,0.5344,2,0.375798,0
229,2022,12,30,4146.0,622,0.7541,3,0.120949,0
230,2023,36,44,4734.0,700,0.572,1,0.413687,0
231,2022,24,30,4986.0,583,0.2059,3,0.013299,0
232,2021,24,40,4220.0,593,0.2884,4,0.038138,0
233,2022,24,38,4440.0,704,0.2826,3,0.133538,0
234,2022,60,31,4017.0,422,0.1175,2,0.001265,0
235,2023,24,59,7543.0,621,0.0877,2,0.015102,0
236,2022,12,44,5415.0,588,0.3392,1,0.051677,0
237,2022,36,22,15190.0,728,0.2951,2,0.169382,0
238,2023,36,39,5326.0,577,0.0808,2,0.019857,0
239,2023,24,31,3732.0,661,0.126,2,0.07807,0
240,2021,48,46,18682.0,693,0.0913,1,0.072565,0
241,2022,24,30,6044.0,500,0.4772,1,0.013755,0
242,2022,36,36,8063.0,608,0.3581,1,0.075099,0
243,2023,24,43,6608.0,585,0.3503,2,0.027354,0
244,2021,36,46,6711.0,695,0.396,1,0.26419,1
245,2022,48,25,6424.0,674,0.2577,1,0.209546,1
246,2022,36,34,2833.0,601,0.1095,1,0.034501,0
247,2021,36,33,5906.0,536,0.4561,2,0.022541,1
248,2022,36,31,2534.0,703,0.2523,1,0.419028,1
249,2022,60,55,4504.0,614,0.6405,2,0.099715,0
250,2022,36,42,3419.0,490,0.3679,1,0.008562,0
251,2022,48,25,5877.0,497,0.118,1,0.005064,0
252,2022,36,47,5808.0,655,0.5198,2,0.227894,0
253,2023,24,59,6251.0,517,0.2614,1,0.005403,0
254,2021,36,48,5674.0,768,0.2723,1,0.59462,0
255,2021,48,22,3629.0,545,0.3588,4,0.011534,0
256,2021,36,33,4313.0,619,0.1738,2,0.028913,0
257,2022,24,50,7787.0,632,0.0398,1,0.035616,0
258,2022,60,30,8383.0,561,0.3357,1,0.020712,0
259,2022,36,42,2770.0,440,0.2327,2,0.00159,0
260,2022,36,45,2286.0,635,0.1187,1,0.044065,0
261,2021,48,28,3417.0,559,0.2902,2,0.027131,0
262,2023,60,37,8288.0,629,0.5799,3,0.085645,0
263,2023,12,22,9022.0,610,0.2906,1,0.051313,0
264,2022,24,27,3095.0,641,0.3282,2,0.144393,0
265,2022,24,35,5731.0,744,0.2716,2,0.35394,1
266,2022,12,25,12298.0,576,0.454,1,0.037663,0
267,2021,12,54,6049.0,582,0.5293,1,0.0613,0
268,2021,36,23,10004.0,486,0.2108,1,0.003273,0
269,2023,36,33,8098.0,604,0.2592,4,0.015256,0
270,2021,24,39,3118.0,652,0.1596,1,0.088737,0
271,2022,60,52,4469.0,581,0.1019,3,0.008329,0
272,2021,24,23,5001.0,653,0.1344,2,0.092201,0
273,2021,48,49,5177.0,605,0.34,2,0.052461,0
274,2023,24,38,7771.0,515,0.1469,2,0.003985,0
275,2022,36,28,6029.0,644,0.2903,4,0.034935,0
276,2022,60,42,1132.0,603,0.1153,2,0.037998,0
277,2023,36,39,2549.0,629,0.3541,3,0.067293,1
278,2021,48,31,1646.0,574,0.2514,3,0.021874,0
279,2023,36,38,5365.0,567,0.1849,2,0.018773,0
280,2021,36,34,5543.0,632,0.1836,2,0.038699,0
281,2022,48,39,5662.0,601,0.1849,3,0.021315,0
282,2021,24,44,3043.0,757,0.3502,1,0.540899,1
283,2023,12,53,6885.0,683,0.2577,2,0.153048,0
284,2021,36,25,7031.0,663,0.2287,2,0.087988,0
285,2022,48,59,2624.0,605,0.6032,1,0.089016,0
286,2022,36,22,2361.0,457,0.1594,3,0.002875,0
287,2023,36,36,4914.0,555,0.1224,1,0.013968,0
288,2022,24,43,12039.0,568,0.2373,3,0.008756,0
289,2021,48,40,11497.0,598,0.1281,4,0.007375,0
290,2022,24,31,6514.0,617,0.3022,2,0.046157,0
291,2022,36,35,3412.0,672,0.182,3,0.127314,0
292,2022,36,33,7657.0,641,0.5148,1,0.15174,0
293,2021,36,32,3920.0,712,0.2906,1,0.340531,1
294,2022,60,46,3348.0,595,0.2028,2,0.038956,0
295,2021,48,41,1682.0,640,0.4052,2,0.181923,0
296,2021,48,31,5173.0,647,0.0361,2,0.075121,1
297,2023,24,46,3587.0,639,0.1712,1,0.091595,0
298,2022,36,41,5158.0,722,0.3731,4,0.20109,0
299,2023,24,46,1557.0,684,0.1808,1,0.263125,0
300,2022,60,44,5350.0,514,0.2839,1,0.007994,0
301,2023,48,29,1457.0,610,0.233,2,0.063936,1
302,2021,36,32,8467.0,618,0.5577,3,0.055773,0
303,2022,12,45,6380.0,792,0.2901,2,0.577347,1
304,2022,24,44,4276.0,593,0.0742,1,0.037018,1
305,2021,24,37,6512.0,541,0.2297,1,0.013493,0
306,2022,12,39,3014.0,655,0.1005,2,0.050422,0
307,2023,24,50,5096.0,659,0.2777,1,0.115657,0
308,2022,60,32,7313.0,614,0.2743,2,0.056529,0
309,2023,24,43,1046.0,602,0.2684,1,0.076009,0
310,2023,48,35,3930.0,695,0.5073,1,0.470044,1
311,2021,24,35,4859.0,551,0.0996,1,0.014713,0
312,2023,24,48,4455.0,592,0.2641,3,0.021958,0
313,2023,36,46,10184.0,578,0.159,2,0.01239,0
314,2022,60,46,2802.0,707,0.2714,1,0.299467,0
315,2022,36,51,3603.0,642,0.2667,1,0.141282,1
316,2021,48,38,1886.0,534,0.224,2,0.020877,0
317,2022,12,44,10458.0,542,0.1888,2,0.010727,0
318,2021,48,34,4345.0,769,0.3134,2,0.627724,1
319,2022,24,41,3947.0,706,0.2629,1,0.235054,0
320,2022,48,36,4787.0,687,0.4694,1,0.312807,1
321,2021,60,38,6756.0,620,0.1696,1,0.060403,0
322,2021,24,43,5847.0,740,0.5156,1,0.430199,0
323,2022,12,29,18471.0,531,0.4396,3,0.003184,0
324,2021,36,58,6167.0,680,0.1458,1,0.145207,0
325,2023,24,27,3895.0,584,0.267,2,0.02272,0
326,2021,48,25,3712.0,600,0.1626,3,0.027772,0
327,2021,36,49,4038.0,678,0.4513,1,0.243867,0
328,2021,24,45,2319.0,608,0.1388,3,0.033059,0
329,2023,48,44,5014.0,585,0.1255,2,0.01659,0
330,2021,24,44,7272.0,580,0.3958,4,0.018456,0
331,2022,48,37,3617.0,461,0.4234,2,0.00215,0
332,2022,48,29,3282.0,681,0.1762,4,0.10357,0
333,2022,36,38,10488.0,539,0.1774,2,0.009695,0
334,2022,24,31,2408.0,768,0.306,1,0.554566,1
335,2021,24,47,1748.0,596,0.5069,3,0.070614,0
336,2022,36,36,2762.0,724,0.5619,1,0.667391,0
337,2023,36,29,2275.0,475,0.5833,4,0.00633,0
338,2022,24,34,5962.0,678,0.1969,1,0.119083,0
339,2022,60,42,4104.0,699,0.2993,3,0.116093,0
340,2022,36,32,4404.0,724,0.3545,1,0.54476,0
341,2021,12,29,8747.0,497,0.4305,2,0.003058,0
342,2023,48,40,3478.0,563,0.3055,1,0.016075,0
343,2023,36,40,7241.0,666,0.387,2,0.162924,0
344,2023,24,32,10464.0,631,0.2456,2,0.02246,0
345,2023,48,33,3913.0,643,0.3111,1,0.142834,0
346,2023,36,40,7105.0,591,0.2908,1,0.018875,0
347,2023,24,23,4355.0,744,0.2245,3,0.297446,1
348,2022,24,23,7801.0,828,0.4438,2,0.882471,1
349,2021,48,30,2240.0,628,0.2019,1,0.134395,0
350,2022,36,35,2159.0,656,0.2083,1,0.088466,0
351,2022,60,41,4041.0,624,0.3403,2,0.05607,0
352,2022,12,52,3151.0,722,0.334,2,0.385117,0
353,2021,24,46,3796.0,686,0.0698,1,0.096017,0
354,2022,48,36,4404.0,534,0.478,4,0.007718,0
355,2023,36,37,7045.0,570,0.0974,1,0.020393,0
356,2022,12,27,4008.0,539,0.0619,2,0.007396,0
357,2023,36,37,3255.0,835,0.3726,3,0.936408,1
358,2022,60,35,4123.0,670,0.258,4,0.084385,0
359,2022,24,41,3346.0,572,0.5068,3,0.024311,0
360,2023,24,29,3081.0,565,0.6412,2,0.048206,0
361,2021,24,43,2194.0,684,0.4836,1,0.483264,1
362,2022,36,53,5089.0,692,0.2525,4,0.117764,0
363,2021,48,36,3698.0,683,0.3035,4,0.117367,0
364,2023,48,42,7968.0,585,0.5382,1,0.055039,0
365,2022,12,44,2383.0,644,0.2653,4,0.041299,0
366,2022,24,33,3748.0,628,0.1135,3,0.035251,0
367,2022,36,40,12167.0,545,0.406,2,0.012582,0
368,2021,36,38,3072.0,545,0.1893,3,0.005928,0
369,2021,24,38,4367.0,652,0.2423,4,0.0439,0
370,2023,24,30,2676.0,635,0.1671,1,0.086613,1
371,2023,24,38,2504.0,664,0.3938,2,0.126754,1
372,2023,12,42,10654.0,683,0.0613,1,0.104493,0
373,2021,24,52,5354.0,739,0.2007,1,0.411018,0
374,2021,48,47,5254.0,557,0.2707,3,0.00654,0
375,2022,24,59,2105.0,670,0.0876,1,0.101483,0
376,2022,48,30,5880.0,679,0.1635,4,0.050957,0
377,2021,48,46,8767.0,595,0.3467,2,0.023007,0
378,2023,12,39,8732.0,629,0.5518,3,0.058169,0
379,2023,12,59,6865.0,597,0.1162,1,0.017836,0
380,2021,24,29,2794.0,788,0.3385,1,0.727468,1
381,2022,48,29,5748.0,628,0.4863,2,0.087113,0
382,2021,12,32,6862.0,656,0.2043,1,0.1035,0
383,2023,12,22,2004.0,598,0.3241,2,0.074736,0
384,2022,36,32,2806.0,581,0.2412,1,0.051372,0
385,2021,24,30,7662.0,515,0.267,4,0.002686,0
386,2021,24,39,7616.0,707,0.4465,1,0.196881,0
387,2021,24,41,2266.0,681,0.2429,2,0.204829,0
388,2022,24,56,7314.0,595,0.2951,2,0.023008,0
389,2022,24,47,5155.0,547,0.062,1,0.007709,0
390,2022,12,32,7263.0,634,0.4485,4,0.068276,0
391,2023,36,29,3579.0,580,0.1886,2,0.032666,0
392,2023,48,42,6786.0,602,0.1457,3,0.026202,0
393,2021,48,24,7494.0,518,0.2272,1,0.013855,0
394,2021,12,56,4123.0,637,0.2578,1,0.072263,0
395,2021,48,49,4959.0,638,0.4594,1,0.206906,0
396,2023,60,33,3554.0,707,0.1962,1,0.295218,0
397,2022,36,22,11224.0,607,0.5149,3,0.044749,0
398,2022,36,51,4628.0,593,0.1763,1,0.049286,0
399,2022,24,36,3099.0,495,0.2221,2,0.003517,0
400,2023,36,50,3436.0,708,0.4462,1,0.471235,0
401,2022,36,22,5236.0,691,0.0772,1,0.230399,0
402,2021,48,32,7163.0,622,0.5832,1,0.120408,0
403,2023,36,38,2520.0,513,0.4072,2,0.012466,0
404,2022,24,38,12380.0,522,0.061,1,0.00598,0
405,2022,48,33,5735.0,576,0.169,1,0.019844,0
406,2023,36,44,6206.0,697,0.1764,1,0.176944,0
407,2023,36,27,4682.0,643,0.1012,1,0.05292,0
408,2023,60,36,4962.0,500,0.2469,2,0.004306,0
409,2021,48,39,4564.0,652,0.3224,1,0.115096,0
410,2022,36,43,8176.0,552,0.1581,3,0.005348,0
411,2023,24,45,4895.0,578,0.291,1,0.042714,0
412,2023,48,26,7212.0,697,0.0824,2,0.100256,0
413,2023,24,22,3956.0,681,0.2346,1,0.291446,1
414,2022,36,50,5420.0,707,0.1433,1,0.298384,0
415,2023,36,41,3288.0,618,0.1222,1,0.073624,0
416,2023,48,30,9030.0,690,0.0674,2,0.096555,0
417,2022,36,53,3239.0,573,0.5688,2,0.033659,0
418,2021,12,39,4178.0,599,0.3745,3,0.045666,0
419,2021,24,49,4199.0,593,0.466,2,0.046303,0
420,2022,36,38,4118.0,621,0.199,3,0.033061,0
421,2022,12,58,7053.0,517,0.6024,3,0.013149,0
422,2022,12,55,4195.0,601,0.1939,1,0.024344,0
423,2022,12,35,9867.0,736,0.1893,1,0.279507,0
424,2023,24,47,3264.0,532,0.4467,1,0.02373,0
425,2021,24,44,5349.0,513,0.2438,1,0.008321,0
426,2023,12,51,3335.0,520,0.1056,1,0.011079,0
427,2021,12,28,6066.0,832,0.2068,1,0.879162,1
428,2022,60,44,4876.0,657,0.1485,2,0.072564,0
429,2022,24,48,4548.0,598,0.2318,3,0.023832,0
430,2022,36,22,8904.0,625,0.2257,1,0.048979,0
431,2022,36,26,3543.0,638,0.1458,2,0.066031,0
432,2021,24,22,6590.0,568,0.5598,3,0.039724,0
433,2022,12,35,3346.0,578,0.5832,3,0.043412,0
434,2021,24,45,5200.0,607,0.4232,1,0.117124,0
435,2023,48,53,2703.0,562,0.0442,2,0.01076,0
436,2021,60,38,3529.0,588,0.2761,2,0.034555,0
437,2021,24,54,4717.0,648,0.5952,1,0.141105,0
438,2021,60,24,12177.0,540,0.3071,2,0.011606,0
439,2022,36,22,5169.0,828,0.1214,1,0.745006,0
440,2021,24,37,11241.0,680,0.2453,1,0.108876,0
441,2022,36,41,5487.0,518,0.4333,1,0.024528,0
442,2021,60,37,4050.0,421,0.6163,1,0.004831,0
443,2023,48,22,10611.0,564,0.1383,1,0.009882,0
444,2022,24,37,6115.0,674,0.1115,2,0.050964,0
445,2022,60,24,3564.0,659,0.0885,3,0.050544,0
446,2022,36,44,6219.0,611,0.2333,3,0.032796,0
447,2021,24,41,4246.0,571,0.0715,2,0.015576,0
448,2023,24,28,1818.0,547,0.1237,1,0.015973,0
449,2021,36,32,7848.0,587,0.0964,2,0.010909,0
450,2021,48,27,8497.0,539,0.3713,2,0.010048,0
451,2021,60,37,12320.0,588,0.0318,3,0.005621,0
452,2021,36,47,6070.0,726,0.0746,3,0.21098,0
453,2022,24,28,4340.0,558,0.3343,3,0.022636,0
454,2022,24,43,7461.0,668,0.5069,3,0.1322,1
455,2022,12,32,7517.0,681,0.5016,1,0.332315,0
456,2023,36,30,11149.0,533,0.1521,2,0.00528,0
457,2023,12,36,4806.0,552,0.3962,4,0.015792,0
458,2022,12,27,4524.0,705,0.2139,2,0.251873,1
459,2021,36,32,3437.0,545,0.1166,3,0.007875,0
460,2021,36,26,6430.0,615,0.4412,4,0.041806,0
461,2021,24,57,2266.0,783,0.3981,1,0.747145,1
462,2021,60,38,7245.0,698,0.1138,4,0.082385,0
463,2022,24,31,6594.0,626,0.3654,1,0.058541,0
464,2021,24,40,6585.0,687,0.0366,2,0.064584,0
